Cal State Bakersfield,-2.271077,7,13,-1.038349,-1.140344,-0.14107
Rider,-2.312961,10,14,-1.010143,-0.782385,-0.912898
Maryland-Eastern Shore,-2.325676,8,12,-0.412791,-1.189641,-0.953414
Albany (NY),-2.32571,11,15,-1.303803,-0.623716,-0.910873
Evansville,-2.369743,6,19,-1.257118,-1.044477,0.302579
Milwaukee,-2.377131,9,18,-0.909415,-0.980627,-0.99393
Sacred Heart,-2.38021,8,17,-0.696988,-1.113448,-1.690804
Saint Francis (PA),-2.389581,8,17,-0.827238,-1.006129,-1.372754
Denver,-2.429653,9,19,-0.570966,-1.162146,-0.985827
Robert Morris,-2.439138,7,19,-0.855265,-1.075742,-0.80148
Alcorn State,-2.448887,10,15,-1.469644,-0.394232,-0.365933
Austin Peay,-2.451006,10,14,-1.215441,-1.005385,-0.426707
Radford,-2.473909,9,16,-1.259269,-1.025707,-0.639416
Houston Baptist,-2.47895,8,14,-0.199254,-1.643473,-0.963543
Texas-Rio Grande Valley,-2.522295,7,19,-1.174307,-1.194676,-0.003316
Tennessee State,-2.526361,10,16,-0.675012,-1.163869,-1.35047
Prairie View,-2.539187,6,15,-1.659834,-0.674646,-0.20387
Coppin State,-2.549908,5,19,-1.198095,-0.973419,-0.615106
Louisiana-Monroe,-2.592723,13,13,-1.202363,-1.010562,-0.372011
South Carolina State,-2.60913,13,12,-0.618096,-1.031538,-1.480121
Morgan State,-2.619125,8,12,-0.647068,-1.453152,-1.303877
Elon,-2.626051,8,19,-1.86412,-0.668837,0.363353
Grambling,-2.692809,10,15,-1.382505,-0.852058,-0.726525
Idaho,-2.730294,6,18,-0.798235,-1.247631,-0.629287
St. Francis (NY),-2.743564,8,17,-0.862344,-1.244647,-1.496328
North Dakota,-2.774821,6,21,-0.824122,-1.537659,-0.89264
Hampton,-2.790587,8,16,-0.815868,-1.347429,-1.249181
Merrimack,-2.810413,11,15,-1.601232,-0.746413,-1.002033
Green Bay,-2.836819,4,21,-1.131619,-1.326373,-0.787299
Florida A&M,-2.843028,10,14,-1.225955,-1.077423,-1.006085
St. Thomas (MN),-2.850102,8,17,-1.209069,-1.164083,-0.858202
UTSA,-2.859631,8,18,-1.229219,-1.489568,-0.240334
Holy Cross,-2.895864,8,18,-0.916134,-1.410939,-1.540895
Idaho State,-2.899324,5,18,-1.126395,-1.501585,-0.833892
Bucknell,-2.962433,6,21,-1.186904,-1.381247,-1.160046
Central Arkansas,-2.998959,8,17,-1.672857,-1.035137,0.033148
Sacramento State,-2.999519,6,15,-1.386757,-1.293485,-0.797428
Northwestern State,-3.01553,6,19,-1.378177,-1.260508,-0.20387
Alabama State,-3.04194,7,19,-1.16417,-1.196227,-0.767041
Northern Illinois,-3.072827,7,16,-1.744982,-0.880605,-0.52192
Charleston Southern,-3.132119,5,21,-0.819234,-1.74753,-0.694112
UT-Martin,-3.145146,8,19,-1.313312,-1.234185,-0.485455
William & Mary,-3.159763,5,22,-1.530799,-1.343684,-0.416578
Cal State Northridge,-3.226321,7,16,-1.647275,-1.270492,-0.175509
American,-3.245792,7,19,-1.391537,-1.442463,-1.431502
Central Michigan,-3.363274,6,17,-2.11262,-1.02881,-0.163354
Southern Miss,-3.445946,6,18,-1.727548,-1.494607,0.051381
Columbia,-3.551156,4,18,-1.532005,-1.571875,-0.900744
Central Connecticut,-3.624927,7,19,-1.722909,-1.15692,-1.299826
Bethune-Cookman,-3.657482,7,18,-1.717244,-1.232133,-1.03242
Western Michigan,-3.741197,6,20,-1.894197,-1.570349,-0.264644
Incarnate Word,-3.79694,5,21,-1.590885,-1.697309,-0.418604
Alabama A&M,-3.804059,7,16,-1.801781,-1.194235,-1.57736
Maine,-3.941188,5,20,-1.628841,-1.759879,-1.026343
Fairleigh Dickinson,-4.043583,3,18,-2.113464,-1.401598,-0.969621
Omaha,-4.057778,4,22,-2.106931,-1.572091,-0.207921
Arkansas-Pine Bluff,-4.228055,6,20,-2.119599,-1.466461,-0.580668
Chicago State,-4.253066,6,20,-2.088841,-1.353217,-0.463172
Eastern Illinois,-4.507462,5,21,-2.262409,-1.825083,-0.607003
Lamar,-4.675902,2,22,-2.319482,-1.978133,-0.430759
Delaware State,-5.077237,2,20,-1.929942,-2.287729,-1.153968
IUPUI,-5.372482,2,22,-2.361269,-2.483999,-1.08104
Mississippi Valley State,-5.742343,2,21,-2.773096,-1.980333,-1.074962
